,task_name,task_size,task_prop,random_seed,hitrate,model,n_mols,query_prop,runtime
309,PPARG,16,0.05,0,0.06,linear_probe,50,0.00497893527384144,0.7428300380706787
310,PPARG,16,0.05,0,0.05,linear_probe,100,0.00497893527384144,0.7428300380706787
311,PPARG,16,0.05,0,0.03333333333333333,linear_probe,150,0.00497893527384144,0.7428300380706787
312,PPARG,16,0.05,0,0.025,linear_probe,200,0.00497893527384144,0.7428300380706787
313,PPARG,16,0.05,0,0.024,linear_probe,250,0.00497893527384144,0.7428300380706787
314,PPARG,16,0.05,0,0.02,linear_probe,300,0.00497893527384144,0.7428300380706787
315,PPARG,16,0.05,0,0.02,linear_probe,350,0.00497893527384144,0.7428300380706787
316,PPARG,16,0.05,0,0.0175,linear_probe,400,0.00497893527384144,0.7428300380706787
317,PPARG,16,0.05,0,0.015555555555555555,linear_probe,450,0.00497893527384144,0.7428300380706787
318,PPARG,16,0.05,0,0.014,linear_probe,500,0.00497893527384144,0.7428300380706787
319,PPARG,16,0.05,0,0.012727272727272728,linear_probe,550,0.00497893527384144,0.7428300380706787
320,PPARG,16,0.05,0,0.011666666666666667,linear_probe,600,0.00497893527384144,0.7428300380706787
321,PPARG,16,0.05,0,0.010769230769230769,linear_probe,650,0.00497893527384144,0.7428300380706787
322,PPARG,16,0.05,0,0.01,linear_probe,700,0.00497893527384144,0.7428300380706787
323,PPARG,16,0.05,0,0.009333333333333334,linear_probe,750,0.00497893527384144,0.7428300380706787
324,PPARG,16,0.05,0,0.01,linear_probe,800,0.00497893527384144,0.7428300380706787
325,PPARG,16,0.05,0,0.009411764705882352,linear_probe,850,0.00497893527384144,0.7428300380706787
326,PPARG,16,0.05,0,0.01,linear_probe,900,0.00497893527384144,0.7428300380706787
327,PPARG,16,0.05,0,0.009473684210526316,linear_probe,950,0.00497893527384144,0.7428300380706787
328,PPARG,16,0.05,0,0.01,linear_probe,1000,0.00497893527384144,0.7428300380706787
329,PPARG,16,0.05,0,0.009523809523809525,linear_probe,1050,0.00497893527384144,0.7428300380706787
330,PPARG,16,0.05,0,0.00909090909090909,linear_probe,1100,0.00497893527384144,0.7428300380706787
331,PPARG,16,0.05,0,0.008695652173913044,linear_probe,1150,0.00497893527384144,0.7428300380706787
332,PPARG,16,0.05,0,0.008333333333333333,linear_probe,1200,0.00497893527384144,0.7428300380706787
333,PPARG,16,0.05,0,0.0096,linear_probe,1250,0.00497893527384144,0.7428300380706787
334,PPARG,16,0.05,0,0.009230769230769232,linear_probe,1300,0.00497893527384144,0.7428300380706787
335,PPARG,16,0.05,0,0.008888888888888889,linear_probe,1350,0.00497893527384144,0.7428300380706787
336,PPARG,16,0.05,0,0.008571428571428572,linear_probe,1400,0.00497893527384144,0.7428300380706787
337,PPARG,16,0.05,0,0.008275862068965517,linear_probe,1450,0.00497893527384144,0.7428300380706787
338,PPARG,16,0.05,0,0.008,linear_probe,1500,0.00497893527384144,0.7428300380706787
339,PPARG,16,0.05,0,0.007741935483870968,linear_probe,1550,0.00497893527384144,0.7428300380706787
340,PPARG,16,0.05,0,0.0075,linear_probe,1600,0.00497893527384144,0.7428300380706787
341,PPARG,16,0.05,0,0.007272727272727273,linear_probe,1650,0.00497893527384144,0.7428300380706787
342,PPARG,16,0.05,0,0.007647058823529412,linear_probe,1700,0.00497893527384144,0.7428300380706787
343,PPARG,16,0.05,0,0.0074285714285714285,linear_probe,1750,0.00497893527384144,0.7428300380706787
344,PPARG,16,0.05,0,0.007222222222222222,linear_probe,1800,0.00497893527384144,0.7428300380706787
345,PPARG,16,0.05,0,0.007027027027027027,linear_probe,1850,0.00497893527384144,0.7428300380706787
346,PPARG,16,0.05,0,0.006842105263157895,linear_probe,1900,0.00497893527384144,0.7428300380706787
347,PPARG,16,0.05,0,0.006666666666666667,linear_probe,1950,0.00497893527384144,0.7428300380706787
348,PPARG,16,0.05,0,0.007,linear_probe,2000,0.00497893527384144,0.7428300380706787
349,PPARG,16,0.05,0,0.006829268292682927,linear_probe,2050,0.00497893527384144,0.7428300380706787
350,PPARG,16,0.05,0,0.007142857142857143,linear_probe,2100,0.00497893527384144,0.7428300380706787
351,PPARG,16,0.05,0,0.0069767441860465115,linear_probe,2150,0.00497893527384144,0.7428300380706787
352,PPARG,16,0.05,0,0.006818181818181818,linear_probe,2200,0.00497893527384144,0.7428300380706787
353,PPARG,16,0.05,0,0.008,linear_probe,2250,0.00497893527384144,0.7428300380706787
354,PPARG,16,0.05,0,0.00782608695652174,linear_probe,2300,0.00497893527384144,0.7428300380706787
355,PPARG,16,0.05,0,0.007659574468085106,linear_probe,2350,0.00497893527384144,0.7428300380706787
356,PPARG,16,0.05,0,0.0075,linear_probe,2400,0.00497893527384144,0.7428300380706787
357,PPARG,16,0.05,0,0.007346938775510204,linear_probe,2450,0.00497893527384144,0.7428300380706787
358,PPARG,16,0.05,0,0.0072,linear_probe,2500,0.00497893527384144,0.7428300380706787
359,PPARG,16,0.05,0,0.007058823529411765,linear_probe,2550,0.00497893527384144,0.7428300380706787
360,PPARG,16,0.05,0,0.006923076923076923,linear_probe,2600,0.00497893527384144,0.7428300380706787
361,PPARG,16,0.05,0,0.006792452830188679,linear_probe,2650,0.00497893527384144,0.7428300380706787
362,PPARG,16,0.05,0,0.006666666666666667,linear_probe,2700,0.00497893527384144,0.7428300380706787
363,PPARG,16,0.05,0,0.006545454545454545,linear_probe,2750,0.00497893527384144,0.7428300380706787
364,PPARG,16,0.05,0,0.0064285714285714285,linear_probe,2800,0.00497893527384144,0.7428300380706787
365,PPARG,16,0.05,0,0.00631578947368421,linear_probe,2850,0.00497893527384144,0.7428300380706787
366,PPARG,16,0.05,0,0.006551724137931035,linear_probe,2900,0.00497893527384144,0.7428300380706787
367,PPARG,16,0.05,0,0.006440677966101695,linear_probe,2950,0.00497893527384144,0.7428300380706787
368,PPARG,16,0.05,0,0.006666666666666667,linear_probe,3000,0.00497893527384144,0.7428300380706787
369,PPARG,16,0.05,0,0.006557377049180328,linear_probe,3050,0.00497893527384144,0.7428300380706787
370,PPARG,16,0.05,0,0.0064516129032258064,linear_probe,3100,0.00497893527384144,0.7428300380706787
371,PPARG,16,0.05,0,0.006349206349206349,linear_probe,3150,0.00497893527384144,0.7428300380706787
372,PPARG,16,0.05,0,0.00625,linear_probe,3200,0.00497893527384144,0.7428300380706787
373,PPARG,16,0.05,0,0.006153846153846154,linear_probe,3250,0.00497893527384144,0.7428300380706787
374,PPARG,16,0.05,0,0.006363636363636364,linear_probe,3300,0.00497893527384144,0.7428300380706787
375,PPARG,16,0.05,0,0.00626865671641791,linear_probe,3350,0.00497893527384144,0.7428300380706787
376,PPARG,16,0.05,0,0.006176470588235294,linear_probe,3400,0.00497893527384144,0.7428300380706787
377,PPARG,16,0.05,0,0.00608695652173913,linear_probe,3450,0.00497893527384144,0.7428300380706787
378,PPARG,16,0.05,0,0.006285714285714286,linear_probe,3500,0.00497893527384144,0.7428300380706787
379,PPARG,16,0.05,0,0.006197183098591549,linear_probe,3550,0.00497893527384144,0.7428300380706787
380,PPARG,16,0.05,0,0.006388888888888889,linear_probe,3600,0.00497893527384144,0.7428300380706787
381,PPARG,16,0.05,0,0.006301369863013699,linear_probe,3650,0.00497893527384144,0.7428300380706787
382,PPARG,16,0.05,0,0.006486486486486486,linear_probe,3700,0.00497893527384144,0.7428300380706787
383,PPARG,16,0.05,0,0.0064,linear_probe,3750,0.00497893527384144,0.7428300380706787
384,PPARG,16,0.05,0,0.00631578947368421,linear_probe,3800,0.00497893527384144,0.7428300380706787
385,PPARG,16,0.05,0,0.006233766233766234,linear_probe,3850,0.00497893527384144,0.7428300380706787
386,PPARG,16,0.05,0,0.00641025641025641,linear_probe,3900,0.00497893527384144,0.7428300380706787
387,PPARG,16,0.05,0,0.006329113924050633,linear_probe,3950,0.00497893527384144,0.7428300380706787
388,PPARG,16,0.05,0,0.00625,linear_probe,4000,0.00497893527384144,0.7428300380706787
389,PPARG,16,0.05,0,0.006419753086419753,linear_probe,4050,0.00497893527384144,0.7428300380706787
390,PPARG,16,0.05,0,0.006341463414634147,linear_probe,4100,0.00497893527384144,0.7428300380706787
391,PPARG,16,0.05,0,0.006265060240963855,linear_probe,4150,0.00497893527384144,0.7428300380706787
392,PPARG,16,0.05,0,0.006190476190476191,linear_probe,4200,0.00497893527384144,0.7428300380706787
393,PPARG,16,0.05,0,0.00611764705882353,linear_probe,4250,0.00497893527384144,0.7428300380706787
394,PPARG,16,0.05,0,0.0060465116279069765,linear_probe,4300,0.00497893527384144,0.7428300380706787
395,PPARG,16,0.05,0,0.005977011494252874,linear_probe,4350,0.00497893527384144,0.7428300380706787
396,PPARG,16,0.05,0,0.005909090909090909,linear_probe,4400,0.00497893527384144,0.7428300380706787
397,PPARG,16,0.05,0,0.005842696629213483,linear_probe,4450,0.00497893527384144,0.7428300380706787
398,PPARG,16,0.05,0,0.0057777777777777775,linear_probe,4500,0.00497893527384144,0.7428300380706787
399,PPARG,16,0.05,0,0.005714285714285714,linear_probe,4550,0.00497893527384144,0.7428300380706787
400,PPARG,16,0.05,0,0.005652173913043478,linear_probe,4600,0.00497893527384144,0.7428300380706787
401,PPARG,16,0.05,0,0.005591397849462366,linear_probe,4650,0.00497893527384144,0.7428300380706787
402,PPARG,16,0.05,0,0.005531914893617021,linear_probe,4700,0.00497893527384144,0.7428300380706787
403,PPARG,16,0.05,0,0.0054736842105263155,linear_probe,4750,0.00497893527384144,0.7428300380706787
404,PPARG,16,0.05,0,0.005416666666666667,linear_probe,4800,0.00497893527384144,0.7428300380706787
405,PPARG,16,0.05,0,0.0053608247422680414,linear_probe,4850,0.00497893527384144,0.7428300380706787
406,PPARG,16,0.05,0,0.005306122448979592,linear_probe,4900,0.00497893527384144,0.7428300380706787
407,PPARG,16,0.05,0,0.0052525252525252525,linear_probe,4950,0.00497893527384144,0.7428300380706787
408,PPARG,16,0.05,0,0.0052,linear_probe,5000,0.00497893527384144,0.7428300380706787
409,PPARG,16,0.05,0,0.005148514851485149,linear_probe,5050,0.00497893527384144,0.7428300380706787
410,PPARG,16,0.05,0,0.005098039215686275,linear_probe,5100,0.00497893527384144,0.7428300380706787
411,PPARG,16,0.05,0,0.005048543689320388,linear_probe,5150,0.00497893527384144,0.7428300380706787
721,PPARG,32,0.05,0,0.04,linear_probe,50,0.004994237418363427,0.8511993885040283
722,PPARG,32,0.05,0,0.03,linear_probe,100,0.004994237418363427,0.8511993885040283
723,PPARG,32,0.05,0,0.02,linear_probe,150,0.004994237418363427,0.8511993885040283
724,PPARG,32,0.05,0,0.015,linear_probe,200,0.004994237418363427,0.8511993885040283
725,PPARG,32,0.05,0,0.012,linear_probe,250,0.004994237418363427,0.8511993885040283
726,PPARG,32,0.05,0,0.01,linear_probe,300,0.004994237418363427,0.8511993885040283
727,PPARG,32,0.05,0,0.008571428571428572,linear_probe,350,0.004994237418363427,0.8511993885040283
728,PPARG,32,0.05,0,0.0075,linear_probe,400,0.004994237418363427,0.8511993885040283
729,PPARG,32,0.05,0,0.008888888888888889,linear_probe,450,0.004994237418363427,0.8511993885040283
730,PPARG,32,0.05,0,0.008,linear_probe,500,0.004994237418363427,0.8511993885040283
731,PPARG,32,0.05,0,0.00909090909090909,linear_probe,550,0.004994237418363427,0.8511993885040283
732,PPARG,32,0.05,0,0.01,linear_probe,600,0.004994237418363427,0.8511993885040283
733,PPARG,32,0.05,0,0.009230769230769232,linear_probe,650,0.004994237418363427,0.8511993885040283
734,PPARG,32,0.05,0,0.008571428571428572,linear_probe,700,0.004994237418363427,0.8511993885040283
735,PPARG,32,0.05,0,0.008,linear_probe,750,0.004994237418363427,0.8511993885040283
736,PPARG,32,0.05,0,0.00875,linear_probe,800,0.004994237418363427,0.8511993885040283
737,PPARG,32,0.05,0,0.009411764705882352,linear_probe,850,0.004994237418363427,0.8511993885040283
738,PPARG,32,0.05,0,0.01,linear_probe,900,0.004994237418363427,0.8511993885040283
739,PPARG,32,0.05,0,0.009473684210526316,linear_probe,950,0.004994237418363427,0.8511993885040283
740,PPARG,32,0.05,0,0.009,linear_probe,1000,0.004994237418363427,0.8511993885040283
741,PPARG,32,0.05,0,0.008571428571428572,linear_probe,1050,0.004994237418363427,0.8511993885040283
742,PPARG,32,0.05,0,0.008181818181818182,linear_probe,1100,0.004994237418363427,0.8511993885040283
743,PPARG,32,0.05,0,0.010434782608695653,linear_probe,1150,0.004994237418363427,0.8511993885040283
744,PPARG,32,0.05,0,0.01,linear_probe,1200,0.004994237418363427,0.8511993885040283
745,PPARG,32,0.05,0,0.0096,linear_probe,1250,0.004994237418363427,0.8511993885040283
746,PPARG,32,0.05,0,0.009230769230769232,linear_probe,1300,0.004994237418363427,0.8511993885040283
747,PPARG,32,0.05,0,0.01037037037037037,linear_probe,1350,0.004994237418363427,0.8511993885040283
748,PPARG,32,0.05,0,0.01,linear_probe,1400,0.004994237418363427,0.8511993885040283
749,PPARG,32,0.05,0,0.009655172413793104,linear_probe,1450,0.004994237418363427,0.8511993885040283
750,PPARG,32,0.05,0,0.009333333333333334,linear_probe,1500,0.004994237418363427,0.8511993885040283
751,PPARG,32,0.05,0,0.00903225806451613,linear_probe,1550,0.004994237418363427,0.8511993885040283
752,PPARG,32,0.05,0,0.00875,linear_probe,1600,0.004994237418363427,0.8511993885040283
753,PPARG,32,0.05,0,0.008484848484848486,linear_probe,1650,0.004994237418363427,0.8511993885040283
754,PPARG,32,0.05,0,0.00823529411764706,linear_probe,1700,0.004994237418363427,0.8511993885040283
755,PPARG,32,0.05,0,0.008,linear_probe,1750,0.004994237418363427,0.8511993885040283
756,PPARG,32,0.05,0,0.0077777777777777776,linear_probe,1800,0.004994237418363427,0.8511993885040283
757,PPARG,32,0.05,0,0.0075675675675675675,linear_probe,1850,0.004994237418363427,0.8511993885040283
758,PPARG,32,0.05,0,0.007368421052631579,linear_probe,1900,0.004994237418363427,0.8511993885040283
759,PPARG,32,0.05,0,0.0071794871794871795,linear_probe,1950,0.004994237418363427,0.8511993885040283
760,PPARG,32,0.05,0,0.007,linear_probe,2000,0.004994237418363427,0.8511993885040283
761,PPARG,32,0.05,0,0.007317073170731708,linear_probe,2050,0.004994237418363427,0.8511993885040283
762,PPARG,32,0.05,0,0.007142857142857143,linear_probe,2100,0.004994237418363427,0.8511993885040283
763,PPARG,32,0.05,0,0.008372093023255815,linear_probe,2150,0.004994237418363427,0.8511993885040283
764,PPARG,32,0.05,0,0.008181818181818182,linear_probe,2200,0.004994237418363427,0.8511993885040283
765,PPARG,32,0.05,0,0.008,linear_probe,2250,0.004994237418363427,0.8511993885040283
766,PPARG,32,0.05,0,0.00782608695652174,linear_probe,2300,0.004994237418363427,0.8511993885040283
767,PPARG,32,0.05,0,0.007659574468085106,linear_probe,2350,0.004994237418363427,0.8511993885040283
768,PPARG,32,0.05,0,0.0075,linear_probe,2400,0.004994237418363427,0.8511993885040283
