TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train
CHEMBL2219363,0.5,0.49245904432821336,0.0,0.0,0.548+/-0.024,0.584+/-0.032,0.58+/-0.062,0.615+/-0.11
CHEMBL2219366,0.5,0.49245904432821336,0.0,0.0,0.64+/-0.052,0.659+/-0.047,0.688+/-0.046,0.744+/-0.062
CHEMBL2219375,0.494140625,0.48868599468282325,0.0,0.0,0.581+/-0.06,0.606+/-0.048,0.659+/-0.027,0.666+/-0.124
CHEMBL2219383,0.482421875,0.47776355130602166,,,0.496+/-nan,0.565+/-nan,0.496+/-nan,0.534+/-nan
CHEMBL2219389,0.5,0.49245904432821336,0.0,0.0,0.589+/-0.062,0.63+/-0.052,0.681+/-0.045,0.732+/-0.07
CHEMBL2219399,0.4609375,0.4606816399624484,0.0,0.0,0.54+/-0.062,0.581+/-0.051,0.624+/-0.05,0.69+/-0.108
CHEMBL2219404,0.482421875,0.47776355130602166,0.0,0.0,0.575+/-0.044,0.618+/-0.045,0.669+/-0.037,0.695+/-0.076
CHEMBL2219407,0.482421875,0.47776355130602166,0.0,0.0,0.548+/-0.054,0.583+/-0.053,0.592+/-0.052,0.616+/-0.075
CHEMBL2219408,0.4765625,0.47399050166063156,0.0,0.0,0.527+/-0.066,0.581+/-0.054,0.597+/-0.036,0.624+/-0.059
CHEMBL2354206,0.498046875,0.496020854268997,,,0.566+/-nan,0.559+/-nan,0.559+/-nan,0.594+/-nan
CHEMBL2354305,0.5,0.5,0.0,0.0,0.609+/-0.063,0.596+/-0.054,0.615+/-0.047,0.645+/-0.057
CHEMBL3214944,0.5,0.4980553478059605,0.0,0.0,0.572+/-0.084,0.634+/-0.041,0.69+/-0.03,0.723+/-0.013
CHEMBL3431930,0.5,0.5,0.0,0.0,0.81+/-0.025,0.825+/-0.032,0.828+/-0.033,0.832+/-0.02
CHEMBL3431932,0.5,0.4987309937095379,0.0,0.0,0.764+/-0.02,0.775+/-0.032,0.78+/-0.023,0.769+/-0.022
CHEMBL3431933,0.5,0.5,0.0,0.0,0.576+/-0.051,0.605+/-0.05,0.616+/-0.052,0.664+/-0.025
CHEMBL3705334,0.5,0.4879740100910239,0.0,0.0,0.749+/-0.032,0.751+/-0.028,0.771+/-0.055,0.739+/-0.128
CHEMBL3705467,0.494140625,0.4865523537350162,,,0.615+/-nan,0.663+/-nan,0.767+/-nan,0.681+/-nan
CHEMBL3705469,0.5,0.4920812032586027,0.0,0.0,0.587+/-0.117,0.673+/-0.074,0.724+/-0.096,0.828+/-0.056
CHEMBL3705476,0.5,0.49833554333349656,0.0,0.0,0.576+/-0.062,0.636+/-0.053,0.649+/-0.045,0.667+/-0.059
CHEMBL3705631,0.4921875,0.4859441664609433,,,0.738+/-nan,0.777+/-nan,0.767+/-nan,0.812+/-nan
CHEMBL3705869,0.5,0.4991774087664612,,,0.913+/-nan,0.908+/-nan,0.907+/-nan,0.912+/-nan
CHEMBL3705880,0.5,0.5,,,0.828+/-nan,0.823+/-nan,0.854+/-nan,0.917+/-nan
CHEMBL3706064,0.4921875,0.48438539261853086,,,0.589+/-nan,0.67+/-nan,0.765+/-nan,0.828+/-nan
CHEMBL3706088,0.5,0.5,,,0.704+/-nan,0.706+/-nan,0.672+/-nan,0.664+/-nan
CHEMBL3706128,0.392578125,0.3961389455667898,0.0,0.0,0.706+/-0.041,0.732+/-0.03,0.74+/-0.015,0.719+/-0.049
CHEMBL3706356,0.5,0.49776638197306866,0.0,0.0,0.765+/-0.023,0.774+/-0.023,0.807+/-0.029,0.821+/-0.026
CHEMBL3707557,0.5,0.5,0.0,0.0,0.724+/-0.062,0.747+/-0.048,0.804+/-0.038,0.879+/-0.081
CHEMBL3707738,0.498046875,0.4928351601329778,0.0,0.0,0.592+/-0.087,0.615+/-0.078,0.656+/-0.076,0.718+/-0.089
CHEMBL3707783,0.5,0.5,0.0,0.0,0.835+/-0.075,0.804+/-0.075,0.857+/-0.045,0.874+/-0.044
CHEMBL3882760,0.5,0.5,,,0.921+/-nan,0.913+/-nan,0.928+/-nan,0.951+/-nan
CHEMBL3887295,0.5,0.4969951853086967,0.0,0.0,0.638+/-0.039,0.655+/-0.032,0.674+/-0.04,0.693+/-0.038
CHEMBL3887333,0.5,0.5,0.0,0.0,0.878+/-0.027,0.906+/-0.027,0.917+/-0.02,0.927+/-0.01
CHEMBL3887334,0.5,0.5,0.0,0.0,0.649+/-0.055,0.663+/-0.044,0.69+/-0.049,0.734+/-0.067
CHEMBL3887759,0.5,0.49869055169190596,0.0,0.0,0.606+/-0.074,0.655+/-0.033,0.681+/-0.023,0.72+/-0.032
CHEMBL3888181,0.5,0.4965357092688114,0.0,0.0,0.621+/-0.047,0.648+/-0.044,0.662+/-0.041,0.686+/-0.064
CHEMBL3888461,0.5,0.49439273006475243,0.0,0.0,0.624+/-0.079,0.672+/-0.058,0.687+/-0.033,0.694+/-0.064
CHEMBL3888867,0.5,0.5,,,0.765+/-nan,0.662+/-nan,0.661+/-nan,0.787+/-nan
CHEMBL4005586,0.498046875,0.4964063107335221,0.0,0.0,0.617+/-0.058,0.616+/-0.052,0.645+/-0.031,0.673+/-0.028
CHEMBL4133035,0.5,0.5,0.0,0.0,0.625+/-0.031,0.662+/-0.037,0.664+/-0.034,0.66+/-0.089
CHEMBL4260657,0.494140625,0.4905942671196059,,,0.759+/-nan,0.812+/-nan,0.827+/-nan,0.78+/-nan
CHEMBL641707,0.314453125,0.3153262353262353,0.0,0.0,0.66+/-0.13,0.724+/-0.033,0.746+/-0.051,0.739+/-0.122
CHEMBL657032,0.5,0.4920812032586027,0.0,0.0,0.874+/-0.058,0.909+/-0.03,0.936+/-0.03,0.94+/-0.044
CHEMBL663407,0.5,0.5,0.0,0.0,0.689+/-0.045,0.728+/-0.037,0.752+/-0.051,0.805+/-0.137
CHEMBL763161,0.3984375,0.4052254620844166,,,0.673+/-nan,0.778+/-nan,0.764+/-nan,0.83+/-nan
CHEMBL819742,0.5,0.5,0.0,0.0,0.831+/-0.037,0.822+/-0.042,0.847+/-0.044,0.84+/-0.102
CHEMBL915809,0.458984375,0.46851511911171495,0.0,0.0,0.786+/-0.045,0.838+/-0.022,0.852+/-0.034,0.865+/-0.077
CHEMBL924949,0.498046875,0.4925380175380175,0.0,0.0,0.841+/-0.042,0.855+/-0.042,0.881+/-0.046,0.929+/-0.089
