TASK_ID,fraction_positive_train,fraction_positive_test,fraction_positive_test_std,fraction_positive_train_std,16_train,32_train,64_train,128_train
CHEMBL2218959,0.5,0.49245904432821336,0.0,0.0,0.852+/-0.055,0.859+/-0.033,0.811+/-0.045,0.805+/-0.137
CHEMBL2218989,0.5,0.49245904432821336,0.0,0.0,0.915+/-0.03,0.918+/-0.021,0.898+/-0.034,0.849+/-0.06
CHEMBL2218994,0.482421875,0.47776355130602166,0.0,0.0,0.609+/-0.042,0.713+/-0.039,0.685+/-0.063,0.722+/-0.046
CHEMBL2219020,0.5,0.49245904432821336,0.0,0.0,0.544+/-0.045,0.555+/-0.036,0.56+/-0.035,0.564+/-0.081
CHEMBL2219026,0.4765625,0.47399050166063156,0.0,0.0,0.756+/-0.124,0.696+/-0.055,0.747+/-0.036,0.817+/-0.08
CHEMBL2219028,0.5,0.49245904432821336,0.0,0.0,0.53+/-0.042,0.535+/-0.039,0.525+/-0.041,0.522+/-0.077
CHEMBL2219040,0.5,0.49245904432821336,0.0,0.0,0.807+/-0.044,0.854+/-0.033,0.841+/-0.022,0.78+/-0.039
CHEMBL2219043,0.5,0.49245904432821336,0.0,0.0,0.779+/-0.032,0.771+/-0.047,0.781+/-0.043,0.726+/-0.112
CHEMBL2219045,0.494140625,0.48868599468282325,0.0,0.0,0.734+/-0.026,0.733+/-0.02,0.753+/-0.031,0.769+/-0.081
CHEMBL2219047,0.482421875,0.47776355130602166,0.0,0.0,0.8+/-0.03,0.77+/-0.04,0.764+/-0.041,0.857+/-0.086
CHEMBL2219049,0.5,0.49245904432821336,0.0,0.0,0.813+/-0.031,0.811+/-0.043,0.792+/-0.043,0.8+/-0.085
CHEMBL2219050,0.5,0.49245904432821336,0.0,0.0,0.708+/-0.045,0.725+/-0.047,0.713+/-0.072,0.642+/-0.073
CHEMBL2219059,0.5,0.49245904432821336,0.0,0.0,0.592+/-0.059,0.592+/-0.041,0.61+/-0.058,0.65+/-0.114
CHEMBL2219070,0.482421875,0.47776355130602166,0.0,0.0,0.867+/-0.051,0.826+/-0.041,0.826+/-0.036,0.91+/-0.043
CHEMBL2219075,0.5,0.49245904432821336,0.0,0.0,0.939+/-0.029,0.936+/-0.025,0.883+/-0.048,0.893+/-0.069
CHEMBL2219076,0.494140625,0.48868599468282325,0.0,0.0,0.907+/-0.033,0.906+/-0.017,0.877+/-0.023,0.864+/-0.052
CHEMBL2219088,0.5,0.49245904432821336,0.0,0.0,0.733+/-0.039,0.756+/-0.043,0.758+/-0.04,0.708+/-0.054
CHEMBL2219093,0.484375,0.48422477299442246,0.0,0.0,0.75+/-0.058,0.734+/-0.026,0.74+/-0.037,0.785+/-0.078
CHEMBL2219098,0.482421875,0.47776355130602166,0.0,0.0,0.762+/-0.088,0.82+/-0.025,0.807+/-0.042,0.832+/-0.072
CHEMBL2219102,0.443359375,0.4459861469402566,0.0,0.0,0.525+/-0.057,0.588+/-0.022,0.602+/-0.025,0.621+/-0.118
CHEMBL2219104,0.484375,0.48422477299442246,0.0,0.0,0.521+/-0.054,0.562+/-0.045,0.579+/-0.039,0.568+/-0.111
CHEMBL2219113,0.5,0.49245904432821336,0.0,0.0,0.723+/-0.041,0.745+/-0.05,0.707+/-0.041,0.671+/-0.076
CHEMBL2219115,0.484375,0.48422477299442246,0.0,0.0,0.712+/-0.103,0.699+/-0.024,0.685+/-0.047,0.726+/-0.087
CHEMBL2219120,0.494140625,0.48868599468282325,0.0,0.0,0.804+/-0.029,0.823+/-0.016,0.664+/-0.03,0.687+/-0.094
CHEMBL2219146,0.5,0.49245904432821336,0.0,0.0,0.68+/-0.11,0.688+/-0.054,0.674+/-0.047,0.659+/-0.121
CHEMBL2219150,0.5,0.49245904432821336,0.0,0.0,0.779+/-0.045,0.755+/-0.056,0.73+/-0.047,0.703+/-0.107
CHEMBL2219159,0.484375,0.48422477299442246,0.0,0.0,0.752+/-0.043,0.666+/-0.04,0.688+/-0.037,0.743+/-0.074
CHEMBL2219161,0.5,0.49245904432821336,0.0,0.0,0.771+/-0.063,0.81+/-0.026,0.816+/-0.034,0.811+/-0.069
CHEMBL2219164,0.5,0.49245904432821336,0.0,0.0,0.837+/-0.033,0.855+/-0.034,0.84+/-0.041,0.803+/-0.066
CHEMBL2219174,0.5,0.49245904432821336,0.0,0.0,0.723+/-0.047,0.732+/-0.043,0.764+/-0.06,0.725+/-0.111
CHEMBL2219175,0.4765625,0.47399050166063156,0.0,0.0,0.703+/-0.042,0.622+/-0.033,0.697+/-0.041,0.749+/-0.107
CHEMBL2219180,0.494140625,0.48868599468282325,0.0,0.0,0.685+/-0.043,0.687+/-0.03,0.676+/-0.042,0.668+/-0.144
CHEMBL2219189,0.5,0.49245904432821336,0.0,0.0,0.635+/-0.078,0.666+/-0.045,0.634+/-0.06,0.616+/-0.12
CHEMBL2219191,0.4765625,0.47399050166063156,0.0,0.0,0.677+/-0.067,0.683+/-0.029,0.676+/-0.039,0.673+/-0.098
CHEMBL2219194,0.482421875,0.47776355130602166,0.0,0.0,0.646+/-0.048,0.632+/-0.035,0.63+/-0.034,0.719+/-0.048
CHEMBL2219198,0.5,0.49245904432821336,0.0,0.0,0.884+/-0.022,0.871+/-0.029,0.879+/-0.026,0.86+/-0.055
CHEMBL2219202,0.5,0.49245904432821336,0.0,0.0,0.779+/-0.054,0.771+/-0.045,0.759+/-0.054,0.727+/-0.075
CHEMBL2219203,0.482421875,0.47776355130602166,0.0,0.0,0.804+/-0.038,0.82+/-0.022,0.814+/-0.042,0.852+/-0.079
CHEMBL2219208,0.482421875,0.47776355130602166,0.0,0.0,0.77+/-0.041,0.67+/-0.028,0.643+/-0.045,0.777+/-0.078
CHEMBL2219211,0.484375,0.48422477299442246,0.0,0.0,0.536+/-0.057,0.561+/-0.025,0.588+/-0.035,0.6+/-0.106
CHEMBL2219223,0.484375,0.48422477299442246,0.0,0.0,0.639+/-0.054,0.59+/-0.031,0.595+/-0.037,0.619+/-0.111
CHEMBL2219225,0.5,0.49245904432821336,0.0,0.0,0.758+/-0.044,0.77+/-0.033,0.791+/-0.041,0.757+/-0.067
CHEMBL2219232,0.5,0.49245904432821336,0.0,0.0,0.684+/-0.025,0.7+/-0.041,0.693+/-0.051,0.73+/-0.102
